Field,ID,Type,default,en-us,da-dk,sv-se,nb-no,de-de,nl-nl,pl-pl,ar-sa,zh-cn,ja-jp,ko-kr,sw-ke,fr-fr,it-it,es-es,pt-br,ru-ru,hi-in,tr-tr,he-il,cs-cz,fi-fi,hu-hu,el-gr,vi-vn,id-id,uk-ua,ro-ro,th-th
ProductName,1,Text,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder,FanFolder
Description,2,Text,"Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Hold op med at lede i Stifinder efter filer, du lige har brugt. FanFolder lægger dine seneste dokumenter (eller en valgt mappe) direkte på proceslinjen. Klik på ikonet, og filerne folder ud i en bue. Åbn, træk, kopier, omdøb eller slet dem med de samme Windows-handlinger, du allerede kender.

Brug den til seneste dokumenter, et aktivt projekt, Overførsler eller hvad du åbner ofte.

FanFolder er et oprindeligt Win32/C++-program. Ingen .NET-runtime nødvendig. Programmet fylder ca. 161 KB.

Vælg mappe, sortering, antal elementer og filtrering efter filnavn. Sortér efter ændringsdato, oprettelsesdato eller navn. Højreklik på et element for at få den fulde Windows-kontekstmenu. Træk elementer ud af menuen og slip dem i andre programmer. Slip filer fra Stifinder ind i fan-menuen for at flytte dem til den overvågede mappe.

Alle indstillinger ligger i Windows-registret. Ændr dem fra procesikon-menuen.

Hjemmeside: https://olebhartvigsen.github.io/FanFolder/","Sluta leta i Utforskaren efter filer du just har använt. FanFolder lägger dina senaste dokument (eller valfri mapp) direkt på aktivitetsfältet. Klicka på ikonen så vecklas filerna ut i en båge. Öppna, dra, kopiera, byt namn eller radera dem med samma Windows-åtgärder du redan känner.

Använd det för senaste dokument, en aktiv projektmapp, Hämtningar eller vad du ofta öppnar.

FanFolder är ett infött Win32/C++-program. Ingen .NET-runtime krävs. Programmet är ca 161 KB stort.

Välj mapp, sorteringsordning, antal objekt och filtrering efter filnamn. Sortera efter ändringsdatum, skapelsedatum eller namn. Högerklicka på ett objekt för att få hela Windows-snabbmenyn. Dra objekt ut från menyn och släpp dem i andra program. Släpp filer från Utforskaren i fan-menyen för att flytta dem till den bevakade mappen.

Alla inställningar finns i Windows-registret. Ändra dem från fältikonsmenyn.

Hemsida: https://olebhartvigsen.github.io/FanFolder/","Slutt å lete i Filutforsker etter filer du nettopp brukte. FanFolder legger dine nyeste dokumenter (eller en valgt mappe) direkte på oppgavelinjen. Klikk på ikonet, og filene folder ut i en bue. Åpne, dra, kopier, gi nytt navn eller slett dem med de samme Windows-handlingene du allerede kjenner.

Bruk det for nyeste dokumenter, en aktiv prosjektmappe, Nedlastinger eller hva du åpner ofte.

FanFolder er et opprinnelig Win32/C++-program. Ingen .NET-runtime nødvendig. Programmet er ca. 161 KB stort.

Velg mappe, sorteringsrekkefølge, antall elementer og filtrering etter filnavn. Sorter etter endringsdato, opprettelsesdato eller navn. Høyreklikk på et element for å få hele Windows-snarveimenyen. Dra elementer ut av menyen og slipp dem i andre programmer. Slipp filer fra Filutforsker inn i fan-menyen for å flytte dem til den overvåkede mappen.

Alle innstillinger ligger i Windows-registret. Endre dem fra systemfeltets meny.

Hjemmeside: https://olebhartvigsen.github.io/FanFolder/","Suchen Sie nicht mehr im Datei-Explorer nach Dateien, die Sie gerade verwendet haben. FanFolder legt Ihre zuletzt verwendeten Dokumente (oder einen Ordner Ihrer Wahl) direkt auf der Taskleiste ab. Klicken Sie auf das Symbol und die Dateien klappen in einem Bogen auf. Öffnen, ziehen, kopieren, umbenennen oder löschen Sie sie mit den vertrauten Windows-Aktionen.

Nutzen Sie es für zuletzt verwendete Dokumente, einen aktiven Projektordner, Downloads oder was auch immer Sie oft öffnen.

FanFolder ist eine native Win32/C++-App. Keine .NET-Laufzeit erforderlich. Die ausführbare Datei ist etwa 161 KB groß.

Wählen Sie Ordner, Sortierreihenfolge, Elementanzahl und Filtern nach Dateiname. Sortieren nach Änderungsdatum, Erstellungsdatum oder Name. Klicken Sie mit der rechten Maustaste auf ein Element für das vollständige Windows-Kontextmenü. Ziehen Sie Elemente aus dem Menü und legen Sie sie in anderen Anwendungen ab. Legen Sie Dateien aus dem Explorer auf das Fan-Menü, um sie in den überwachten Ordner zu verschieben.

Alle Einstellungen befinden sich in der Windows-Registrierung. Ändern Sie sie über das Tray-Symbol-Menü.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop met zoeken in Verkenner naar bestanden die u zojuist hebt gebruikt. FanFolder plaatst uw recentste documenten (of een gekozen map) direct op de taakbalk. Klik op het pictogram en de bestanden klappen open in een boog. Open, sleep, kopieer, hernoem of verwijder ze met dezelfde Windows-acties die u al kent.

Gebruik het voor recent gebruikte documenten, een actieve projectmap, Downloads of wat u vaak opent.

FanFolder is een native Win32/C++-app. Geen .NET-runtime nodig. Het uitvoerbare bestand is ongeveer 161 KB groot.

Kies uw map, sorteervolgorde, itemaantal en filter op bestandsnaam. Sorteer op wijzigingsdatum, aanmaakdatum of naam. Klik met de rechtermuisknop op een item voor het volledige Windows-contextmenu. Sleep items uit het menu en zet ze in andere toepassingen. Sleep bestanden vanuit Verkenner naar het fan-menu om ze naar de bewaakte map te verplaatsen.

Alle instellingen bevinden zich in het Windows-register. Wijzig ze via het systeemvaktekenmenu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Arrêtez de fouiller dans l'Explorateur de fichiers pour retrouver les fichiers que vous venez d'utiliser. FanFolder place vos documents récents (ou n'importe quel dossier) directement sur la barre des tâches. Cliquez sur l'icône et les fichiers se déploient en arc. Ouvrez, faites glisser, copiez, renommez ou supprimez-les avec les mêmes actions Windows que vous connaissez déjà.

Utilisez-le pour les documents récents, un dossier de projet actif, Téléchargements ou tout ce que vous ouvrez souvent.

FanFolder est une application Win32/C++ native. Aucun runtime .NET requis. L'exécutable fait environ 161 Ko.

Choisissez votre dossier, l'ordre de tri, le nombre d'éléments et le filtre par nom de fichier. Triez par date de modification, date de création ou nom. Cliquez avec le bouton droit sur un élément pour le menu contextuel complet de Windows. Faites glisser des éléments hors du menu et déposez-les dans d'autres applications. Déposez des fichiers de l'Explorateur sur le menu en éventail pour les déplacer dans le dossier surveillé.

Tous les paramètres sont dans le registre Windows. Modifiez-les depuis le menu de l'icône de la barre d'état.

Page d'accueil : https://olebhartvigsen.github.io/FanFolder/","Smetti di cercare in Esplora file i documenti che hai appena usato. FanFolder mette i tuoi documenti recenti (o una cartella a tua scelta) direttamente sulla barra delle applicazioni. Clicca sull'icona e i file si dispiegano ad arco. Aprili, trascinali, copiali, rinominali o eliminali con le stesse azioni di Windows che già conosci.

Usalo per documenti recenti, una cartella di progetto attiva, Download o qualsiasi cosa apri spesso.

FanFolder è un'app Win32/C++ nativa. Nessun runtime .NET necessario. L'eseguibile è di circa 161 KB.

Scegli cartella, ordine, numero di elementi e filtro per nome file. Ordina per data di modifica, data di creazione o nome. Fai clic col tasto destro su un elemento per il menu contestuale completo di Windows. Trascina elementi fuori dal menu e rilasciali in altre applicazioni. Rilascia file da Esplora file nel menu a ventaglio per spostarli nella cartella sorvegliata.

Tutte le impostazioni si trovano nel registro di Windows. Cambiale dal menu dell'icona nell'area di notifica.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Deja de buscar en el Explorador de archivos los archivos que acabas de usar. FanFolder coloca tus documentos recientes (o la carpeta que elijas) directamente en la barra de tareas. Haz clic en el icono y los archivos se despliegan en arco. Ábrelos, arrástralos, cópialos, renómbralos o elimínalos con las mismas acciones de Windows que ya conoces.

Úsalo para documentos recientes, una carpeta de proyecto activa, Descargas o lo que abras a menudo.

FanFolder es una aplicación Win32/C++ nativa. No necesita runtime .NET. El ejecutable ocupa unos 161 KB.

Elige tu carpeta, orden de clasificación, número de elementos y filtro por nombre de archivo. Ordena por fecha de modificación, fecha de creación o nombre. Haz clic derecho en cualquier elemento para el menú contextual completo de Windows. Arrastra elementos del menño a otras aplicaciones. Suelta archivos del Explorador en el menú para moverlos a la carpeta vigilada.

Todas las configuraciones están en el registro de Windows. Cámbialas desde el menú del icono de bandeja.

Página principal: https://olebhartvigsen.github.io/FanFolder/","Pare de procurar no Explorador de Arquivos os arquivos que você acabou de usar. FanFolder coloca seus documentos recentes (ou a pasta que escolher) diretamente na barra de tarefas. Clique no ícone e os arquivos se desdobram em arco. Abra, arraste, copie, renomeie ou exclua com as mesmas ações do Windows que você já conhece.

Use para documentos recentes, uma pasta de projeto ativa, Downloads ou o que você abrir com frequência.

FanFolder é um aplicativo Win32/C++ nativo. Não precisa de runtime .NET. O executável tem cerca de 161 KB.

Escolha sua pasta, ordem de classificação, contagem de itens e filtro por nome de arquivo. Ordene por data de modificação, data de criação ou nome. Clique com o botão direito em qualquer item para o menu de contexto completo do Windows. Arraste itens do menu e solte-os em outros aplicativos. Solte arquivos do Explorador no menu para movê-los para a pasta monitorada.

Todas as configurações ficam no registro do Windows. Altere-as pelo menu do ícone na bandeja.

Página inicial: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/","Stop digging through File Explorer for files you just used. FanFolder puts your recent documents (or any folder you choose) directly on the taskbar. Click the icon and the files fan out in an arc. Open, drag, copy, rename, or delete them with the same Windows actions you already know.

Use it for recent documents, an active project folder, Downloads, or whatever you open often.

FanFolder is a native Win32/C++ app. No .NET runtime needed. The executable is about 161 KB.

Pick your folder, sort order, item count, and filter by filename. Sort by date modified, date created, or name. Right-click any item for the full Windows context menu. Drag items out of the menu and drop them into other applications. Drop files from Explorer onto the fan menu to move them into the watched folder.

All settings live in the Windows registry. Change them from the tray icon menu.

Homepage: https://olebhartvigsen.github.io/FanFolder/"
WhatsNew,3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures1,4,Text,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar,Arc-shaped popup that opens from the taskbar
ProductFeatures2,5,Text,"Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None","Multiple animation styles: Fan, Glide, Spring, Fade, None"
ProductFeatures3,6,Text,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails,Real Windows shell icons and thumbnails
ProductFeatures4,7,Text,"Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name","Sort by date modified, date created, or name"
ProductFeatures5,8,Text,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu,Right-click for full Windows context menu
